"Package"	"LibPath"	"Version"	"Priority"	"Depends"	"Imports"	"LinkingTo"	"Suggests"	"Enhances"	"OS_type"	"License"	"Built"
"akima"	"akima"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"0.5-4"	NA	NA	NA	NA	NA	NA	NA	"file LICENSE"	"2.14.0"
"annotate"	"annotate"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"1.32.1"	NA	"R (>= 2.4.0), AnnotationDbi (>= 0.1.15)"	"Biobase, AnnotationDbi, DBI, xtable, graphics, utils, stats,
methods"	NA	"Biobase, hgu95av2.db, genefilter, Biostrings (>= 2.4.4),
rae230a.db, rae230aprobe, tkWidgets, XML (>= 0.92-2), GO.db,
org.Hs.eg.db, org.Mm.eg.db, hom.Hs.inp.db"	NA	NA	"Artistic-2.0"	"2.14.0"
"AnnotationDbi"	"AnnotationDbi"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"1.16.10"	NA	"R (>= 2.7.0), methods, utils, Biobase (>= 1.17.0)"	"methods, utils, Biobase, DBI, RSQLite, IRanges"	NA	"DBI (>= 0.2-4), RSQLite (>= 0.6-4), hgu95av2.db, GO.db,
human.db0, hgu95av2cdf, affy, KEGG.db, XML, RCurl, RUnit"	NA	NA	"Artistic-2.0"	"2.14.0"
"base"	"base"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"2.14.0"	"base"	NA	NA	NA	NA	NA	NA	"Part of R 2.14.0"	"2.14.0"
"Biobase"	"Biobase"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"2.14.0"	NA	"R (>= 2.10), utils"	"methods"	NA	"tools, tkWidgets, ALL"	NA	NA	"Artistic-2.0"	"2.14.0"
"BiocInstaller"	"BiocInstaller"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"1.2.1"	NA	"R (>= 2.14.0)"	NA	NA	"RUnit"	NA	NA	"Artistic-2.0"	"2.14.0"
"boot"	"boot"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"1.3-3"	"recommended"	"R (>= 2.14.0), graphics, stats"	NA	NA	"survival"	NA	NA	"Unlimited"	"2.14.0"
"class"	"class"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"7.3-3"	"recommended"	"R (>= 2.5.0), stats, utils"	"MASS"	NA	NA	NA	NA	"GPL-2 | GPL-3"	"2.14.0"
"cluster"	"cluster"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"1.14.1"	"recommended"	"R (>= 2.10.0), stats, graphics, utils"	NA	NA	NA	"MASS"	NA	"GPL (>= 2)"	"2.14.0"
"codetools"	"codetools"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"0.2-8"	"recommended"	"R (>= 2.1)"	NA	NA	NA	NA	NA	"GPL"	"2.14.0"
"compiler"	"compiler"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"2.14.0"	"base"	NA	NA	NA	NA	NA	NA	"Part of R 2.14.0"	"2.14.0"
"datasets"	"datasets"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"2.14.0"	"base"	NA	NA	NA	NA	NA	NA	"Part of R 2.14.0"	"2.14.0"
"DBI"	"DBI"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"0.2-5"	NA	"R (>= 2.3.0), methods"	"methods"	NA	NA	NA	NA	"LGPL (>= 2)"	"2.14.0"
"DESeq"	"DESeq"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"1.6.1"	NA	"Biobase (>= 2.13.11), locfit"	"genefilter, geneplotter, methods, MASS"	NA	"pasilla (>= 0.1.0)"	NA	NA	"GPL (>= 3)"	"2.14.0"
"edgeR"	"edgeR"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"2.4.1"	NA	"R (>= 2.3.0), methods"	"limma"	NA	"MASS, statmod, splines"	NA	NA	"LGPL (>= 2)"	"2.14.0"
