"Package"	"LibPath"	"Version"	"Priority"	"Depends"	"Imports"	"LinkingTo"	"Suggests"	"Enhances"	"OS_type"	"License"	"Built"
"base"	"base"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"2.14.0"	"base"	NA	NA	NA	NA	NA	NA	"Part of R 2.14.0"	"2.14.0"
"BiocInstaller"	"BiocInstaller"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"1.2.1"	NA	"R (>= 2.14.0)"	NA	NA	"RUnit"	NA	NA	"Artistic-2.0"	"2.14.0"
"boot"	"boot"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"1.3-3"	"recommended"	"R (>= 2.14.0), graphics, stats"	NA	NA	"survival"	NA	NA	"Unlimited"	"2.14.0"
"class"	"class"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"7.3-3"	"recommended"	"R (>= 2.5.0), stats, utils"	"MASS"	NA	NA	NA	NA	"GPL-2 | GPL-3"	"2.14.0"
"cluster"	"cluster"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"1.14.1"	"recommended"	"R (>= 2.10.0), stats, graphics, utils"	NA	NA	NA	"MASS"	NA	"GPL (>= 2)"	"2.14.0"
"codetools"	"codetools"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"0.2-8"	"recommended"	"R (>= 2.1)"	NA	NA	NA	NA	NA	"GPL"	"2.14.0"
"compiler"	"compiler"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"2.14.0"	"base"	NA	NA	NA	NA	NA	NA	"Part of R 2.14.0"	"2.14.0"
"datasets"	"datasets"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"2.14.0"	"base"	NA	NA	NA	NA	NA	NA	"Part of R 2.14.0"	"2.14.0"
"foreign"	"foreign"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"0.8-46"	"recommended"	"R (>= 2.13.0), stats"	"methods, utils"	NA	NA	NA	NA	"GPL (>= 2)"	"2.14.0"
"graphics"	"graphics"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"2.14.0"	"base"	NA	"grDevices"	NA	NA	NA	NA	"Part of R 2.14.0"	"2.14.0"
"grDevices"	"grDevices"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"2.14.0"	"base"	NA	NA	NA	NA	NA	NA	"Part of R 2.14.0"	"2.14.0"
"grid"	"grid"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"2.14.0"	"base"	NA	"grDevices"	NA	"lattice"	NA	NA	"Part of R 2.14.0"	"2.14.0"
"KernSmooth"	"KernSmooth"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"2.23-6"	"recommended"	"R (>= 2.5.0), stats"	NA	NA	"MASS"	NA	NA	"Unlimited"	"2.14.0"
"lattice"	"lattice"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"0.20-0"	"recommended"	"R (>= 2.14.0)"	"grid, grDevices, graphics, stats, utils, methods"	NA	"grid, KernSmooth, MASS"	"chron"	NA	"GPL (>= 2)"	"2.14.0"
"MASS"	"MASS"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"7.3-16"	"recommended"	"R (>= 2.14.0), grDevices, graphics, stats, utils"	NA	NA	"lattice, nlme, nnet, survival"	NA	NA	"GPL-2 | GPL-3"	"2.14.0"
"Matrix"	"Matrix"	"/Library/Frameworks/R.framework/Versions/2.14/Resources/library"	"1.0-1"	"recommended"	"R (>= 2.12.0), stats, methods, utils, lattice"	"graphics, grid"	NA	"expm"	"MatrixModels, graph, SparseM (>= 0.87), sfsmisc"	NA	"GPL (>= 2)"	"2.14.0"
